Années,"Taux d’accroissement, en %","Effectif de la population au 31.12., en millions"
1900,1.114365159,3.318985
1901,1.35848761,3.364073
1902,1.398958941,3.411135
1903,1.248294189,3.453716
1904,1.229747901,3.496188
1905,1.162609105,3.536835
1906,1.281258526,3.582151
1907,1.208910512,3.625456
1908,1.260779334,3.671165
1909,1.108721618,3.711868
1910,1.211627138,3.756842
1911,0.57149063,3.778312
1912,0.722094946,3.805595
1913,0.600063853,3.828431
1914,0.557277903,3.849766
1915,0.282328848,3.860635
1916,0.28816503,3.87176
1917,0.184308945,3.878896
1918,-0.362268027,3.864844
1919,0.119978969,3.869481
1920,0.358678593,3.88336
1921,0.647918298,3.908521
1922,0.512853839,3.928566
1923,0.599913556,3.952134
1924,0.469316071,3.970682
1925,0.46704823,3.989227
1926,0.509121191,4.009537
1927,0.36931945,4.024345
1928,0.393405635,4.040177
1929,0.306422219,4.052557
1930,0.431455992,4.070042
1931,0.529724263,4.091602
1932,0.459135566,4.110388
1933,0.631448905,4.136343
1934,0.564629191,4.159698
1935,0.455369597,4.17864
1936,0.482022859,4.198782
1937,0.436888602,4.217126
1938,0.434039675,4.23543
1939,0.412520098,4.252902
1940,0.377671529,4.268964
1941,0.649548696,4.296693
1942,0.700096563,4.326774
1943,0.783655444,4.360681
1944,0.72552888,4.392319
1945,0.815013664,4.428117
1946,1.397501466,4.49
1947,1.316258352,4.5491
1948,1.365105186,4.6112
1949,1.231783484,4.668
1950,1.053984576,4.7172
1951,1.30797931,4.7789
1952,1.364330704,4.8441
1953,1.298486819,4.907
1954,1.289993886,4.9703
1955,1.275576927,5.0337
1956,1.265470727,5.0974
1957,1.283007023,5.1628
1958,1.301619276,5.23
1959,1.252390057,5.2955
1960,1.220904542,5.360153
1961,2.766376258,5.508435
1962,2.373813978,5.639195
1963,1.95247726,5.749299
1964,1.388986727,5.829156
1965,0.937219728,5.883788
1966,1.162992276,5.952216
1967,1.329538444,6.031353
1968,1.205716197,6.104074
1969,1.058735526,6.1687
1970,0.394961661,6.193064
1971,0.656863872,6.233744
1972,0.873054781,6.288168
1973,0.609986883,6.326525
1974,0.470400417,6.356285
1975,-0.555465968,6.320978
1976,-0.584545619,6.284029
1977,-0.090865271,6.278319
1978,0.108898576,6.285156
1979,0.293023753,6.303573
1980,0.502413472,6.335243
1981,0.594468121,6.372904
1982,0.57758598,6.409713
1983,0.282695965,6.427833
1984,0.436585705,6.455896
1985,0.448241421,6.484834
1986,0.594911142,6.523413
1987,0.6650813,6.566799
1988,0.809740027,6.619973
1989,0.813855283,6.67385
1990,1.151404362,6.750693
1991,1.266503167,6.842768
1992,0.952699259,6.907959
1993,0.877408219,6.96857
1994,0.723950538,7.019019
1995,0.617393969,7.062354
1996,0.268918834,7.081346
1997,0.213504608,7.096465
1998,0.381485712,7.123537
1999,0.574251246,7.164444
2000,0.552883099,7.204055
2001,0.806028311,7.255653
2002,0.80213318,7.313853
2003,0.68766764,7.364148
2004,0.69191983,7.415102
2005,0.59373425,7.459128
2006,0.66510455,7.508739
2007,1.12875145,7.593494
2008,1.42703741,7.701856
2009,1.08999701,7.785806
2010,1.08309917,7.864012
2011,1.07403508,7.954662
2012,1.060987884,8.03906
2013,1.251029349,8.139631
2014,1.204415778,8.237666
2015,1.08598722,8.327126
2016,1.109914753,8.41955
2017,0.767024366,8.48413
2018,0.711882067,8.544527
2019,0.719829196,8.606033
2020,0.746766832,8.6703
2021,0.789949598,8.738791
2022,0.8764828,8.815385
2023,1.666098531,8.962258
2024,0.990498153,9.051029
