ID,Lemma,Complement,Precision,URL
25265,A Musis,Johann Ludwig,1599 - 1662,http://hls-dhs-dss.ch/fr/articles/025265/2001-05-10/
27932,A Prato,Carlo Emanuele,1895 - 1968,http://hls-dhs-dss.ch/fr/articles/027932/2002-08-21/
4928,Aa,Albert von der,1894 - 1978,http://hls-dhs-dss.ch/fr/articles/004928/2002-06-11/
11462,Aal,Johannes,//1500// - 1551,http://hls-dhs-dss.ch/fr/articles/011462/2001-01-24/
8115,Aalto,Alvar,1898 - 1976,http://hls-dhs-dss.ch/fr/articles/008115/2001-05-15/
18417,Aarberg,Jean III d',//1410// - 1497,http://hls-dhs-dss.ch/fr/articles/018417/2001-05-15/
12040,Aarberg,Nesa d',//1398 - ante 1438//,http://hls-dhs-dss.ch/fr/articles/012040/2000-10-18/
12072,Aarbourg,Lüthold d',//1190// - 1213,http://hls-dhs-dss.ch/fr/articles/012072/2017-05-08/
32200,Aarbourg,Rodolphe Ier d',//1296// - 1339,http://hls-dhs-dss.ch/fr/articles/032200/2001-01-24/
32201,Aarbourg,Thüring d',//1404// - 1457,http://hls-dhs-dss.ch/fr/articles/032201/2001-01-24/
12173,Aarwangen,Jean d',//1280// - //1350//,http://hls-dhs-dss.ch/fr/articles/012173/2001-03-28/
18416,Aarwangen,Walter d',//1266// - //1320//,http://hls-dhs-dss.ch/fr/articles/018416/2001-06-05/
18049,Ab Inkenberg,Pantaleon,//1368// - 1426,http://hls-dhs-dss.ch/fr/articles/018049/2001-06-05/
6078,Ab Yberg,Alois,1878 - 1959,http://hls-dhs-dss.ch/fr/articles/006078/2001-02-20/
5731,Ab Yberg,Alois,1915 - 1987,http://hls-dhs-dss.ch/fr/articles/005731/2001-02-20/
18926,Ab Yberg,Caspar,//1554// - 1597,http://hls-dhs-dss.ch/fr/articles/018926/2001-06-05/
23241,Ab Yberg,Georg Franz,1673 - 1753,http://hls-dhs-dss.ch/fr/articles/023241/2001-02-20/
18924,Ab Yberg,Hans,//1428// - 1445,http://hls-dhs-dss.ch/fr/articles/018924/2001-06-05/
