ID,Lemma,Complement,Precision,URL
44910,Aa,von,,http://hls-dhs-dss.ch/fr/articles/044910/2001-02-23/
44911,Aa,von,,http://hls-dhs-dss.ch/fr/articles/044911/2002-06-13/
19508,Aarberg,d',,http://hls-dhs-dss.ch/fr/articles/019508/2015-01-12/
19589,Aarbourg,d',,http://hls-dhs-dss.ch/fr/articles/019589/2002-05-31/
19979,Aarbourg,d',,http://hls-dhs-dss.ch/fr/articles/019979/2001-01-24/
20060,Aarwangen,d',,http://hls-dhs-dss.ch/fr/articles/020060/2000-09-22/
20191,Ab Egge,,,http://hls-dhs-dss.ch/fr/articles/020191/2009-09-10/
22874,Ab Yberg,,,http://hls-dhs-dss.ch/fr/articles/022874/2001-02-20/
23482,Abbondio,,,http://hls-dhs-dss.ch/fr/articles/023482/2020-05-07/
22873,Abegg,,,http://hls-dhs-dss.ch/fr/articles/022873/2001-02-14/
25145,Abegg,,,http://hls-dhs-dss.ch/fr/articles/025145/2001-06-05/
29503,Abt,,,http://hls-dhs-dss.ch/fr/articles/029503/2002-05-31/
24407,Abucinus,,,http://hls-dhs-dss.ch/fr/articles/024407/2000-06-27/
21885,Abys,,,http://hls-dhs-dss.ch/fr/articles/021885/2007-07-16/
10767,Achard,,,http://hls-dhs-dss.ch/fr/articles/010767/2002-06-11/
24092,Achermann,,,http://hls-dhs-dss.ch/fr/articles/024092/2001-02-23/
14745,Achshalm,,,http://hls-dhs-dss.ch/fr/articles/014745/2001-02-23/
24916,Ackermann,,,http://hls-dhs-dss.ch/fr/articles/024916/2011-10-06/
47462,Ad Portum,,,http://hls-dhs-dss.ch/fr/articles/047462/2017-11-30/
41399,Adamini,,,http://hls-dhs-dss.ch/fr/articles/041399/2017-03-14/
28742,Advocat,,,http://hls-dhs-dss.ch/fr/articles/028742/2001-04-06/
13889,Aebi,,,http://hls-dhs-dss.ch/fr/articles/013889/2002-05-31/
21024,Aebli,,,http://hls-dhs-dss.ch/fr/articles/021024/2001-03-06/
24874,Aeby,,,http://hls-dhs-dss.ch/fr/articles/024874/2011-03-03/
22923,Aepli,,,http://hls-dhs-dss.ch/fr/articles/022923/2014-07-30/
23873,Aeppli,,,http://hls-dhs-dss.ch/fr/articles/023873/2001-03-08/
19981,Aeschi,von,,http://hls-dhs-dss.ch/fr/articles/019981/2002-05-31/
20935,Aeschlimann,,,http://hls-dhs-dss.ch/fr/articles/020935/2001-03-12/
19590,Affoltern,von,,http://hls-dhs-dss.ch/fr/articles/019590/2001-06-05/
20462,Affry,d',,http://hls-dhs-dss.ch/fr/articles/020462/2002-06-12/
43594,Agnelli,,,http://hls-dhs-dss.ch/fr/articles/043594/2001-04-09/
26605,Ah,von,,http://hls-dhs-dss.ch/fr/articles/026605/2001-05-01/
20463,Aigle,d',,http://hls-dhs-dss.ch/fr/articles/020463/2001-06-05/
