ID,Lemma,Complement,Precision,URL
24021,Aargauer Tagblatt,,,http://hls-dhs-dss.ch/fr/articles/024021/2016-07-28/
45004,Aargauer Zeitung,,,http://hls-dhs-dss.ch/fr/articles/045004/2001-03-07/
13753,Abaque,,,http://hls-dhs-dss.ch/fr/articles/013753/2012-01-12/
11380,Abattage rituel,,,http://hls-dhs-dss.ch/fr/articles/011380/2012-01-11/
25742,Abbayes,,,http://hls-dhs-dss.ch/fr/articles/025742/2001-03-05/
61598,Abolitionnisme (esclavage),,,http://hls-dhs-dss.ch/fr/articles/061598/2023-08-09/
16498,Abolitionnisme (prostitution),,,http://hls-dhs-dss.ch/fr/articles/016498/2001-06-05/
28682,Absinthe,,,http://hls-dhs-dss.ch/fr/articles/028682/2020-02-14/
9924,Absolutisme,,,http://hls-dhs-dss.ch/fr/articles/009924/2016-07-28/
17366,Abstentionnisme,,,http://hls-dhs-dss.ch/fr/articles/017366/2017-03-28/
16445,Abstinence,,,http://hls-dhs-dss.ch/fr/articles/016445/2015-01-21/
43471,Académie suisse des sciences humaines et sociales (ASSH),,,http://hls-dhs-dss.ch/fr/articles/043471/2014-03-06/
43472,Académie suisse des sciences médicales (ASSM),,,http://hls-dhs-dss.ch/fr/articles/043472/2014-03-06/
43470,Académie suisse des sciences naturelles (ASSN),,,http://hls-dhs-dss.ch/fr/articles/043470/2014-03-06/
43473,Académie suisse des sciences techniques (ASST),,,http://hls-dhs-dss.ch/fr/articles/043473/2014-03-06/
10416,Académies,,,http://hls-dhs-dss.ch/fr/articles/010416/2011-05-06/
25746,Académies,,,http://hls-dhs-dss.ch/fr/articles/025746/2016-07-28/
25983,Accaparement,,,http://hls-dhs-dss.ch/fr/articles/025983/2005-05-11/
55502,Accidents techniques,,,http://hls-dhs-dss.ch/fr/articles/055502/2018-10-21/
41556,Acheuléen,,,http://hls-dhs-dss.ch/fr/articles/041556/2026-02-10/
27294,Acta Murensia,,,http://hls-dhs-dss.ch/fr/articles/027294/2022-06-02/
42768,Actes de réunion,,,http://hls-dhs-dss.ch/fr/articles/042768/2013-02-25/
16508,Action catholique,,,http://hls-dhs-dss.ch/fr/articles/016508/2010-11-04/
25820,Action de Carême,,,http://hls-dhs-dss.ch/fr/articles/025820/2011-03-09/
46542,Action pour une Suisse indépendante et neutre (Asin),,,http://hls-dhs-dss.ch/fr/articles/046542/2019-10-21/
44020,Actualis,,,http://hls-dhs-dss.ch/fr/articles/044020/2016-07-28/
7860,Adduction d'eau,,,http://hls-dhs-dss.ch/fr/articles/007860/2016-08-24/
10342,Administration,,,http://hls-dhs-dss.ch/fr/articles/010342/2014-01-15/
10343,Administration fédérale,,,http://hls-dhs-dss.ch/fr/articles/010343/2012-05-24/
25619,Adoption,,,http://hls-dhs-dss.ch/fr/articles/025619/2025-12-01/
24590,Adula,L',,http://hls-dhs-dss.ch/fr/articles/024590/2003-03-07/
16108,Adultère,,,http://hls-dhs-dss.ch/fr/articles/016108/2002-06-12/
11439,Adventistes du septième jour,,,http://hls-dhs-dss.ch/fr/articles/011439/2001-03-02/
10467,Affiche,,,http://hls-dhs-dss.ch/fr/articles/010467/2010-07-22/
8965,Affranchis,,,http://hls-dhs-dss.ch/fr/articles/008965/2005-03-03/
8720,Agen,bataille d',,http://hls-dhs-dss.ch/fr/articles/008720/2002-06-12/
26209,Agence internationale pour l'énergie (AIE),,,http://hls-dhs-dss.ch/fr/articles/026209/2001-03-29/
27830,Agence télégraphique suisse (ATS),,,http://hls-dhs-dss.ch/fr/articles/027830/2011-10-27/
10466,Agences de presse,,,http://hls-dhs-dss.ch/fr/articles/010466/2010-09-02/
46746,Agent national,,,http://hls-dhs-dss.ch/fr/articles/046746/2016-07-28/
7880,Agglomération,,,http://hls-dhs-dss.ch/fr/articles/007880/2002-06-12/
13933,Agriculture,,,http://hls-dhs-dss.ch/fr/articles/013933/2007-11-19/
8250,Agronomie,,,http://hls-dhs-dss.ch/fr/articles/008250/2007-08-28/
26459,Aide humanitaire,,,http://hls-dhs-dss.ch/fr/articles/026459/2007-07-23/
16632,Aide suisse aux montagnards (ASM),,,http://hls-dhs-dss.ch/fr/articles/016632/2012-11-27/
30176,Alabama,arbitrage de l',,http://hls-dhs-dss.ch/fr/articles/030176/2001-04-11/
8027,Alamans,,,http://hls-dhs-dss.ch/fr/articles/008027/2018-01-18/
