prénom,nom,année de naissance,année de décès,URL
Isoroku,Yamamoto,1884,1943,https://dodis.ch/P5401
Masayuki,Tani,1889,1962,https://dodis.ch/P5668
Fumimaro,Konoe,1891,1945,https://dodis.ch/P4449
Matsuzo,Nagai,1877,1957,https://dodis.ch/P4895
Ichiro,Hatoyama,1883,1959,https://dodis.ch/P17983
Hachiro,Arita,1884,1965,https://dodis.ch/P19190
Michail,Savov,1857,1928,https://dodis.ch/P34801
Takeo,Miki,1907,1988,https://dodis.ch/P40972
Teiichiro,Morinaga,1910,1986,https://dodis.ch/P51496
Teijiro,Toyoda,1885,1961,https://dodis.ch/P56345
Kantaro,Suzuki,1868,1948,https://dodis.ch/P56371
Tadashi,Kuranari,1918,1996,https://dodis.ch/P56561
Toshinari,Maeda,1885,1942,https://dodis.ch/P56295
Sadao,Saburi,1879,1929,https://dodis.ch/P56296
Haruhiko,Nishi,1893,1986,https://dodis.ch/P56300
Arvid,Aaby-Ericsson,1890,1975,https://dodis.ch/P43367
Fereidun,Aalame,,,https://dodis.ch/P65319
Gerard,Aalders,1946,,https://dodis.ch/P21404
,Aali Pacha Mouhammed-Emin,1814,1871,https://dodis.ch/P32195
Hugo Alvar Henrik,Aalto,1898,1976,https://dodis.ch/P77979
Gijs van,Aardenne,1930,1995,https://dodis.ch/P61816
E.,Aarhus,,,https://dodis.ch/P55091
I.,Aarhus,,,https://dodis.ch/P80376
,Aarif Effendi,,,https://dodis.ch/P34428
Ahmed,Aarifi Pascha,1829,1895,https://dodis.ch/P33334
Hannes,Aarma,,,https://dodis.ch/P80396
Ursula,Aaroe-Strasser,1950,,https://dodis.ch/P62497
David L.,Aaron,1938,,https://dodis.ch/P55057
Knut,Aars,1918,2002,https://dodis.ch/P13075
J. W. M.,Aarts,,,https://dodis.ch/P29655
Finn,Aasberg-Petersen,1925,1987,https://dodis.ch/P58294
Martin Ivar,Aaserød,,,https://dodis.ch/P55124
Mohammed,Aba al-Khail,1932,,https://dodis.ch/P50439
Alexander Ransford,Ababio,1927,,https://dodis.ch/P67488
Sani,Abacha,1943,1998,https://dodis.ch/P4309
Abdelouahab,Abada,1989,,https://dodis.ch/P75606
Odette,Abadi,1914,1999,https://dodis.ch/P35302
Josephine,Abaijah,1944,,https://dodis.ch/P50571
Vahram,Abajyan,,,https://dodis.ch/P77743
K.,Abaka-Quansah,1954,,https://dodis.ch/P67491
Viktor Semënovič,Abakumov,1908,1954,https://dodis.ch/P14479
Mohammed Khodzhamukhammedovich,Abalakov,1947,,https://dodis.ch/P66463
Leonid Ivanovich,Abalkin,1930,2011,https://dodis.ch/P58630
Kate,Abankwah,,,https://dodis.ch/P67314
Francisco,Abarca Ruiz,1938,,https://dodis.ch/P42359
Buenaventura,Abarzuza y Ferrer,1841,1910,https://dodis.ch/P33335
,Abassian,,,https://dodis.ch/P72603
Hasan,Abaza,,,https://dodis.ch/P79688
Mohsen Sayed,Abaza,,,https://dodis.ch/P21386
Enika,Abazi,,,https://dodis.ch/P70069
Saad,Abbadi,,,https://dodis.ch/P76524
Rijda Mahmoud,Abbar,,,https://dodis.ch/P50441
Abdul Karim,Abbas,1946,,https://dodis.ch/P76371
Abu,Abbas,1948,2004,https://dodis.ch/P61101
Amar,Abbas,,,https://dodis.ch/P45461
Ferhat,Abbas,1899,1985,https://dodis.ch/P2055
,Abbas Halim II,,,https://dodis.ch/P14136
Sahibzada Muhammad,Abbasi,2002,,https://dodis.ch/P54211
Mahmud,Abbas,1935,,https://dodis.ch/P54537
Maldoum Bada,Abbas,1952,,https://dodis.ch/P69175
Mekki,Abbas,1911,,https://dodis.ch/P50420
Syed Ibne,Abbas,,,https://dodis.ch/P63506
Caterina,Abbati,,,https://dodis.ch/P37946
Barbara,Abbühl,,,https://dodis.ch/P69465
Hans-Rudolf,Abbühl,1930,2009,https://dodis.ch/P68494
Roland,Abbiate,,,https://dodis.ch/P19171
Alice,Abbing,1920,,https://dodis.ch/P56770
Jonathan D.,Abbis,,,https://dodis.ch/P70728
Charles Theodores,Abbott,,,https://dodis.ch/P14275
Dorothy,Abbott,,,https://dodis.ch/P35022
Douglas,Abbott,,,https://dodis.ch/P12691
Fernando,Abbott Galvão,1922,2009,https://dodis.ch/P72619
James,Abbott,,,https://dodis.ch/P38878
Roderick,Abbott,1938,,https://dodis.ch/P68794
Salah,Abboud,,,https://dodis.ch/P52276
,Abè Boungo No Kami,,,https://dodis.ch/P32196
,Abbs,,,https://dodis.ch/P44774
Jean-Pierre,Abbuehl,1941,,https://dodis.ch/P40935
Ahmed,Abdallah Abderemane,1919,1989,https://dodis.ch/P53390
Ahmad,Abdallah,,,https://dodis.ch/P64272
Georges Ibrahim,Abdallah,1951,,https://dodis.ch/P72817
Moncef Ben,Abdallah,1946,,https://dodis.ch/P77815
Muḥammad ibn,'Abdallāh Hassan,1856,1920,https://dodis.ch/P75043
Pehin Dato Haji,Abd Aziz Umar,,,https://dodis.ch/P68440
Majid ben,Abdelaziz Al Saoud,1938,2003,https://dodis.ch/P62966
Mohamed,Abdelaziz,1947,2016,https://dodis.ch/P61293
Hadj,Abdelbari,1931,,https://dodis.ch/P15646
,Abdel Chalek Saroit Pascha,,,https://dodis.ch/P39827
Benmansour,Abdelfattah,,,https://dodis.ch/P80139
Mohamed Tewfik,Abdel Fattah,1920,,https://dodis.ch/P45338
Yehia,Abd el-Fattah,,,https://dodis.ch/P40265
Mohamed Ben Ahmed dit,Abdelghani,1927,1996,https://dodis.ch/P57126
Abdellatif,Abdelhamid,,,https://dodis.ch/P63866
Senouci Bereksi,Abdelhamid,,,https://dodis.ch/P56977
,Abdelkarim,,,https://dodis.ch/P58325
Ahmad,Abdel Karim,1927,,https://dodis.ch/P46489
Nihad,Abdellatif,,,https://dodis.ch/P77958
Omar,Abdelmagid,,,https://dodis.ch/P63998
Zeinat,Abdel Majid,1933,,https://dodis.ch/P48656
Hamza,Abdel Malek,,,https://dodis.ch/P40297
Mohamed,Abdelmalek,,,https://dodis.ch/P57965
Ald,Abdel Meguib,,,https://dodis.ch/P39034
Ahmed Asmat,Abdel-Meguid,1923,2013,https://dodis.ch/P59270
Mohsen Hassan,Abdel,1937,1969,https://dodis.ch/P47481
Mohammed,Abdelmoumène,1937,,https://dodis.ch/P68216
Gamal,Abdel Nasser,1918,1970,https://dodis.ch/P17767
Mohammed,Abdelouhab,1920,,https://dodis.ch/P21957
Usama,Abdel Rahman El Nur,1942,2007,https://dodis.ch/P76550
Omar,Abdel-Rahman,1938,2017,https://dodis.ch/P61094
Yousri,Abdel Rahman,,,https://dodis.ch/P60601
Ahmed,Abdelrazak,,,https://dodis.ch/P76725
Mamdouh,Abdel Razek,,,https://dodis.ch/P63464
Haidar,Abdel-Shafi,1919,2007,https://dodis.ch/P68700
Mohamed,Abdel Wahab,,,https://dodis.ch/P59859
Mohamed Mahmoud,Abdel-Wahab,,,https://dodis.ch/P59970
Ali-Yahia,Abdennour,,,https://dodis.ch/P76167
Roberto,Abdenur,1942,,https://dodis.ch/P74770
Emil,Abderhalden,,,https://dodis.ch/P12019
Ernst,Abderhalden,,,https://dodis.ch/P19717
Sidi Mohamed Ould,Abderrahmane,,,https://dodis.ch/P46390
Belaid,Abdessalam,1928,2020,https://dodis.ch/P46139
Ahmed Ibrahim,Abdi,1933,,https://dodis.ch/P53366
Fikret,Abdić,1939,,https://dodis.ch/P69617
Tuleubek Abdikadirovich,Abdikadirov,1940,2009,https://dodis.ch/P66852
,Abdülhamit II,1842,1918,https://dodis.ch/P34404
,Abdülmecid I.,1823,1861,https://dodis.ch/P53712
Abdou Bolok,Abdou,,,https://dodis.ch/P72203
Johnny,Abdou,1940,,https://dodis.ch/P60519
Diallo,Abdourahmane,,,https://dodis.ch/P28210
A.,Abdukadyrov,,,https://dodis.ch/P69757
Ramazan Gadzhimuradovich,Abdulatipov,1946,,https://dodis.ch/P73972
,Abdul Aziz,1830,1876,https://dodis.ch/P32867
,Abdul Aziz Abdul Ghani,,,https://dodis.ch/P43873
Hassan,Abduldjalil,,,https://dodis.ch/P75831
Sayyid,Abdulellah,,,https://dodis.ch/P53311
Havid,Abdulgani,,,https://dodis.ch/P77265
Muhammad,Abdul Ghaffar,1949,,https://dodis.ch/P81407
Zakariyya,Abdul Hameed,,,https://dodis.ch/P70480
Hayel,Abdul Hamid,1937,1991,https://dodis.ch/P76218
,Abdul-Hamid II,,,https://dodis.ch/P40266
Mamadouh,Abdul-Hamid,,,https://dodis.ch/P58929
Jemal,Abdulkadir,1935,2013,https://dodis.ch/P51209
,Abdul Kadir Yusof,1917,1992,https://dodis.ch/P44690
Abdel Rahman,Abdulla,,,https://dodis.ch/P50622
Kalyk Abdullaevich,Abdullaev,1942,2020,https://dodis.ch/P65418
Ibn Hussein,Abdullah,1882,1951,https://dodis.ch/P2165
Khaled Amin,Abdullah,1940,,https://dodis.ch/P58821
Sheikh,Abdullah,1905,1982,https://dodis.ch/P55758
Waheed,Abdullah,,,https://dodis.ch/P53179
Abdumalik,Abdullajanov,1949,,https://dodis.ch/P68876
Rahmatalla,Abdulla,1922,,https://dodis.ch/P42566
Dato Paduka Haji Jaya bin,Abdul Latif,1939,,https://dodis.ch/P63452
Uktomkhan Avasovna,Abdullayeva,1949,,https://dodis.ch/P71579
Shukhrat Yuryevich,Abdullayev,,,https://dodis.ch/P66476
,Abdul-Medjid,1868,1944,https://dodis.ch/P38879
Badr,Abdul-Rahim,,,https://dodis.ch/P76894
Ch.,Abdul Rahim,,,https://dodis.ch/P70789
Mohammed Kamil,Abdul Rahim,,,https://dodis.ch/P22659
Hashim Mohammed,Abdul Rahman,,,https://dodis.ch/P72816
Tunku,Abdul Rahman,1902,1990,https://dodis.ch/P27729
Ahmad Sheikh,Abdulwahab,1923,,https://dodis.ch/P50362
Mohammad,Abdul Wakil,1945,,https://dodis.ch/P58480
Ali,Abdurahman,,,https://dodis.ch/P57493
Ubaidullah Abbasovich,Abdurazakov,1932,2005,https://dodis.ch/P66455
Tuangku,Abdur Rahman,1895,1960,https://dodis.ch/P18388
Ketema,Abebe,,,https://dodis.ch/P53287
Hamed,Abed,,,https://dodis.ch/P63598
Doris,Abe,,,https://dodis.ch/P75106
Alfred,Abegg,1914,1998,https://dodis.ch/P46093
Carlo,Abegg-Arter,1918,,https://dodis.ch/P28931
August,Abegg,1861,1924,https://dodis.ch/P7440
Carl,Abegg,1860,1943,https://dodis.ch/P4103
Carl,Abegg,1836,1912,https://dodis.ch/P18476
Carl Julius,Abegg,1890,1973,https://dodis.ch/P2190
Charles,Abegg,,,https://dodis.ch/P32866
Elisabeth,Abegg,1881,1974,https://dodis.ch/P28900
Emil,Abegg,1886,1965,https://dodis.ch/P20333
Emil,Abegg,1885,1962,https://dodis.ch/P28932
Erika,Abegg,,,https://dodis.ch/P43155
Fritz,Abegg,,,https://dodis.ch/P50657
Heinrich,Abegg,1804,1874,https://dodis.ch/P18892
Johann,Abegg,,,https://dodis.ch/P43696
Karl Werner,Abegg,1921,1984,https://dodis.ch/P41067
Charles,Abegglen,1918,2001,https://dodis.ch/P30956
Robert,Abegglen,1950,,https://dodis.ch/P59611
Lily,Abegg,1901,1974,https://dodis.ch/P28933
Werner,Abegg,1903,1984,https://dodis.ch/P18478
Werner,Abegg,,,https://dodis.ch/P77192
Wilhelm,Abegg,1876,1951,https://dodis.ch/P4326
Isao,Abe,1914,,https://dodis.ch/P37509
Joseph,Abela,,,https://dodis.ch/P52498
A.,Abele,,,https://dodis.ch/P37802
Anne,Abele,1951,,https://dodis.ch/P56157
Emil,Abel,,,https://dodis.ch/P23036
Elfriede,Abeles,1936,,https://dodis.ch/P30898
G.,Abeles,,,https://dodis.ch/P30069
Gerhard,Abel,,,https://dodis.ch/P58667
Pierre,Abelin,,,https://dodis.ch/P19207
Theodor,Abelin,1935,,https://dodis.ch/P53266
Ludwig,Abelis,,,https://dodis.ch/P25349
Francisco,Abella Martin,,,https://dodis.ch/P43793
Juan,Abello,1941,,https://dodis.ch/P68258
Arthur,Abelmann,,,https://dodis.ch/P35303
Franz,Abelmann,,,https://dodis.ch/P26533
Rudolf Ivanovich,Abel,1903,1971,https://dodis.ch/P56991
Salinas,Abel,1930,2012,https://dodis.ch/P66590
Werner,Abelshauser,,,https://dodis.ch/P22926
