value,text
,--- Tous les journaux ---
AJI,L'Ajoie
CMV,Aktiv
ASZ,Allgemeine Schweizer Zeitung
ALP,Alpegruess
AMI,L’ami du peuple
APM,L’amico del popolo di Mesolcina e Calanca
AVU,Anzeiger von Uster
AVF,Appenzeller Volksfreund
ARC,ArcInfo
AVE,L’avenir
BAV,Le Bas-Valaisan
BEP,Berner Post und Tagblatt der Stadt Bern
BTP,Berner Tagespost
TGW,Berner Tagwacht
BVF,Berner Volksfreund
BVO,Berner Volksfreund
BVZ,Berner Volkszeitung
BWB,Berner Wochenblatt
BEZ,Berner Zeitung
BTB,Bieler Tagblatt
LBP,Le bien public
BUR,Bote vom Untersee und Rhein
BAN,Briger Anzeiger
MIM,Wir Brückenbauer
BDC,Bulletin des séances de la Constituante
DBB,Der Bund
BLB,Bündner Landbote
BNN,Bündner Nachrichten
BUT,Burgdorfer Tagblatt
CHM,Chablais Magazine
CHA,Le Chablaisien
CVB,Christlicher Volksbote aus Basel
CSZ,Chronik der Stadt Zürich
LCR,Le chroniqueur
LCE,Le confédéré
LCG,Le confédéré de Fribourg
MIG,Construire
CON,La contrée
COU,Courrier de Genève
CDS,Courrier de Sierre
COS,Le courrier de Sion
CDV,Courrier du Valais
COV,Courrier du Valais
LCS,Le courrier fribourgeois
DEF,Le défenseur de la religion et du peuple
DEM,Der Demokrat
ECH,L’écho de Sierre
EDA,L'écho des Alpes
EIZE,Eidgenössische Zeitung
EMB,Emmenthaler Bote
EDP,Engadiner Post
ENA,Entlebucher Anzeiger
EZR,Der Erzähler
LES,L'essor
EXP,L’expression
FAL,Le Falot
EXR,FAN - L'express
FCM,FCOM-info
FCT,La FCTA
TCP,"Fédération textile, chimie, papier"
FEN,Der Fenner
FCS,Feuille commerciale de Sierre et du district
FAD,Feuille d'avis du district de Monthey
FEU,Feuille d’avis de Martigny
FAS,"Feuille d’avis de Sion, Savièse, et des districts de Conthey, Hérens et environs"
FGL,Fögl d’Engiadina
LFM,Le Franc-Montagnard
FFZ,Frauenfelder Zeitung
FZG,Freiburger Nachrichten
ZFB,Fremdenblatt für den Zugersee und Umgebung / Zugerland
GDB,Gazette de Berne
GDM,La gazette de Martigny
GAZ,Gazette du Simplon
GAV,Gazette du Valais
GNN,Gemeinnützige Nachrichten
GBL,Geschäftsblatt für den obern Teil des Kantons Bern
OIZ,Die Gewerkschaft
GRGA,Graubündner General-Anzeiger
IGI,Il Grigione italiano
GTR,Grütlianer
LGE,La Gruyère
HGF,Handwerks- und Gewerbezeitung
DHS,Die Hauptstadt
HRV,Der Helvetische Volksfreund
IAB,L'illustrazione delle acque del S. Bernardino
IMP,L'impartial
IND,L’indicateur = Der Anzeiger
ISB,Intelligenzblatt für die Stadt Bern
SAX,Journal de Saxon
JDS,Journal de Sierre
JDF,Journal du canton de Fribourg
JDC,Journal du Chablais
JAL,Le journal du Haut-Lac
JDJ,Journal du Jura
JDV,Journal du Valais
JOV,Journal du Valais
FDV,Journal et feuille d’avis du Valais
LEJ,Le Jura
JULI,Le Jura Libre
JUS,La justice
DLB,Der Landbote
DLE,Der Landbote des freiburgischen Seebezirks
